case_type,filed_year,pending_as_of_2026,count
can,2016,Yes,120
FA,2018-05,yes,76
CRA,05/2023,YES,158
EC,2015-07-12, Yes ,109
CPAN,Mar 2024,Yes,100
CRR,2023 ,yes,164
WP,2019-11,YES,306
PIL,07/2017,Yes,648
SA,2017-03-15,Yes,245
MAT,June 2016,Yes,74
CAN,2020 ,Yes,1126
CAN,2020-08,Yes,140
CRA,02/2016,Yes,262
CRA,2016-09-10,Yes,849
CAN,Jan 2024,Yes,670
WP,2018 ,Yes,346
CRA,2018-04,Yes,381
FA,03/2016,Yes,166
CAN,2016-12-01,Yes,475
WPA,Aug 2018,Yes,147
SA,2023-06,Yes,133
PIL,2015 ,Yes,58
RVW,04/2020,Yes,66
FMA,2024-02-11,Yes,622
FMA,Nov 2022,Yes,284
CAN,2022 ,Yes,85
FA,2023-01,Yes,241
WP,06/2021,Yes,708
CAN,2018-09-19,Yes,1766
CPAN,Feb 2022,Yes,62
AP,2017 ,Yes,1111
CRA,2021-10,Yes,148
CRA,07/2024,Yes,3367
SA,2023-08-05,Yes,311
CRA,2016 ,Yes,849
PIL,2019-03,Yes,648
AP,05/2019,Yes,166
CS,2019-12-12,Yes,4320
TS,Aug 2023,YES,4765
CAN,2019 ,Yes,819
MAT,2018-06,Yes,245
TS,09/2023,YES,4978
CPAN,2015-02-02,Yes,175
CS,2016 ,Yes,4799
RVW,Nov 2019,Yes,111
WP,2016-01,Yes,174
GA,03/2023,Yes,431
CRA,2022-07-21,Yes,1876
SA,Dec 2023,Yes,733
FMA,2023 ,Yes,1006
FMA,2019-04,Yes,221
CAN,08/2020,Yes,182
CRM,2016-11-11,Yes,66
MAT,Jan 2015,Yes,108
WP,2018 ,Yes,231
CAN,2015-05,Yes,281
EC,07/2020,Yes,110
SA,2022-09-09,Yes,83
CRM,Feb 2024,Yes,112
RVW,2022 ,Yes,494
AP,2016-03,Yes,662
CRR,10/2021,Yes,236
EC,2016-06-18,Yes,236
MAT,2016 ,Yes,98
WPA,2022-12,Yes,96
SA,Apr 2022,Yes,286
GA,2022 ,Yes,1176
WPA,2016-08,Yes,188
CS,11/2016,Yes,4676
FA,2017-04-14,Yes,173
FMA,2021 ,Yes,1874
CRA,2015-07,Yes,2286
RVW,05/2022,Yes,228
CRM,2023-09-09,Yes,798
PLA,2018 ,Yes,297
EC,Jan 2024,Yes,362
CRM,2020-02,Yes,199
DR,06/2023,Yes,3375
TS,2015-03-03,Yes,1528
TS,2016 ,Yes,222
FA,2021-11,Yes,277
WP,2018-10-10,Yes,60
MAT,2016 ,Yes,199
WP,Feb 2023,Yes,116
FMA,2020-07,Yes,151
PLA,09/2019,Yes,287
PIL,2016 ,Yes,209
WP,2016-05,Yes,104
CPAN,2019-01-01,Yes,139
GA,Aug 2018,Yes,90
CRM,2023 ,Yes,926
RVW,2023-02,Yes,259
WPA,07/2019,Yes,1624
PLA,2019-06-06,Yes,77
CRM,2023 ,Yes,122
MAT,2018-03,Yes,508
CRA,05/2019,Yes,114
EC,2016-09-09,Yes,1149
SA,2015 ,Yes,247
PLA,2019-10,Yes,163
WPA,2021 ,Yes,78
GA,2017-07,Yes,263
CAN,Mar 2024,Yes,160
PLA,2015-12-12,Yes,280
RVW,2015 ,Yes,515
CRA,2018-02,Yes,662
PIL,2023-01-01,Yes,716
MAT,2017 ,Yes,2169
TS,2017-08,Yes,325
TS,2020-04,Yes,721
RVW,03/2018,Yes,251
CRR,2016-11,Yes,59
DR,2018 ,Yes,285
CRM,2020-06-06,Yes,253
FA,Aug 2018,Yes,99
CRA,2020-09,Yes,67
PIL,2019 ,Yes,180
CRA,2023-05,Yes,57
AP,2019-03-03,Yes,296
SA,2015 ,Yes,161
CAN,2020-10,Yes,180
AP,2021-01,Yes,494
SA,2015-06,Yes,301
CPAN,2023 ,Yes,1059
CRM,2018-12,Yes,67
CRA,2020 ,Yes,979
AP,2019-09,Yes,220
CRR,2020-07-07,Yes,125
WPA,2017 ,Yes,220
CRA,2017-11,Yes,608
CRA,2023-08,Yes,611
FMAT,2018 ,Yes,198
MAT,2020-03,Yes,163
CRA,2018-05,Yes,253
RVW,2017-04,Yes,590
CPAN,2024 ,Yes,259
PIL,2018-06,Yes,530
RVW,2018-02,Yes,61
FA,2022 ,Yes,1086
GA,2022-07,Yes,211
WP,2018-09,Yes,693
DR,2021 ,Yes,217
CRR,2015-01,Yes,1181
PIL,2016-08,Yes,524
TS,2023-03,Yes,192
FA,2016 ,Yes,255
CRM,2023-11,Yes,3638
MAT,2022-04,Yes,1036
CPAN,2021 ,Yes,861
CS,2022-02,Yes,25
EC,2022 ,Yes,62
GA,2019-09,Yes,36
AP,2019 ,Yes,71
PLA,2022-01,Yes,35
TS,2019-07,Yes,61
FMA,2016 ,Yes,41
FA,2018-02,Yes,39
SA,2020-05,Yes,45
FMAT,2023 ,Yes,15
MAT,2017-03,Yes,24
CAN,2018 ,Yes,54
CRA,2017-12,Yes,32
CRR,2016-04,Yes,58
CRM,2021-06,Yes,47
DR,2023-09,Yes,64
CPAN,2021-02,Yes,12
WPA,2018 ,Yes,58
WP,2021-08,Yes,79
MAT,2015-10,Yes,78
CAN,2021 ,Yes,66
CRA,2015-06,Yes,50
CRR,2019-11,Yes,54
CRM,2021-03,Yes,73
PIL,2023-12,Yes,33
RVW,2022-05,Yes,33
