Source ,Target,,
(D),মৃত,,
abate,হ্রাস  পাওয়া,,
abbnormalities,অস্বাভাবিকতা,,
absolved,অব্যাহতি,,
absurd,অযৌক্তিক,,
accurate,সঠিক,,
acquittal,খালাস,,
adulteration,ভেজাল,,
adverse,বিরূপ,,
adverse inferences,বিরূপ অনুসিদ্ধান্তগুলি,,
aid,সহায়তা প্রদান,,
alleged,অভিকথিত,,
alleged,কথিত,,
amicus curiae,আদালত বান্ধব,,
Annexure,অনুবদ্ধ,,
antecedents,পূর্ববর্তী  ,,
applicability,প্রয়োগযোগ্যতা ,,
appreciated,উপলব্ধ ,,
appreciation,উপলব্ধিতে,,
appropriating the security deposit,জামানত বাজেয়াপ্ত,,
apt ,উপযুক্ত,,
arbitrary,স্বেচ্ছাচারী ,,
arises,উদ্ভূত,,
Art.,অনুচ্ছেদ,,
as is where is whatever there is,যেমনই আছে তেমনি আছে,,
aspersion,মিথ্যা দুর্নাম,,
assailing,আক্রমণ করা,,
audi alteram partem,অন্য পক্ষের বক্তব্য শোনা,,
automatically,স্বয়ংক্রিয়ভাবে,,
availability,প্রাপ্যতা,,
averred,বলা,,
badly hampered,বিশ্রীভাবে বাধাগ্রস্ত,,
benevolent,কল্যাণমূলক,,
bias,পক্ষপাতিত্ব,,
bid,নিলাম ডাক,,
binding,কার্যকরী,,
blatantly,স্পষ্টভাবে,,
bona fides,সৎভাবে ,,
bone of contention,বিতর্কের মূল বিষয় ,,
bothered,উদ্বিগ্ন,,
buttress,সমর্থন,,
catena,সারিবদ্ধ,,
caveat  emptor,ক্রেতা সাবধান,,
cess,উপকর,,
circular,বিজ্ঞপ্তি,,
circulation,প্রচলন,,
CJM,মুখ্য বিচার বিভাগীয় ম্যাজিস্ট্রেট ,,
clause,প্রকরণ,,
closely,নিবিড়ভাবে,,
coercive,বাধ্যতামূলক,,
cogent,অকাট্য,,
cognizable,প্রগ্রাহ্য,,
collateral,সহায়ক,,
committed,পাঠানো হয়েছিল,,
compatiable,উপযুক্ত,,
compatiablity,উপযুক্ততা,,
competent,যোগ্য ,,
complusive obsession,বদ্ধ সংস্কার,,
compoundable,মীমাংসাযোগ্য,,
comprehension,বোধশক্তি,,
comprehensive,ব্যাপক,,
compulsion,বাধ্যবাধকতা,,
compulsorily,বাধ্যতামূলকভাবে,,
concessional,ছাড়,,
conclusive,চূড়ান্ত,,
confession,স্বীকারোক্তি,,
confirmation,নিশ্চিতকরণ,,
conjectures,অনুমান,, 
conjoint,সম্মিলিত,,
consciously,সচেতনভাবে,,
considered,বিবেচনাযোগ্য,,
contended,যুক্তি দেওয়া,,
contentious,বিতর্কিত,,
contradictory,পরস্পরবিরোধী,,
convinced,দৃঢ় প্রত্যয়,,
corroboration,অনুমোদন,,
counsel,বরিষ্ঠ,,
credit facilities,ঋণ সুবিধা,,
creditor,ঋণদাতা ,,
crucial,প্রামানিক,,
crucial,গুরুত্বপূর্ণ,,
culled out,গ্রহণ করা থেকে বিরত,,
cumulative,রাশিকৃত,,
custodia legis,আইনি তত্ববধায়ক,,
dealers,ব্যবসায়ী,,
dealt with,স্থির করেছিল,,
Debt Recovery Tribunal,ঋণ পুনরুদ্ধার ট্রাইবুনাল,,
debtor,ঋণগ্রহীতা,,
decipher,অর্থ উদ্ধার,,
deed of conveyance,স্বত্বান্তর-পত্র,,
deeming fiction,অনুমান মূলক কল্পকাহিনী,,
De-facto,কার্যত ,,
default,বিচ্যুতি,,
deliberate,উদ্দেশ্য প্রণোদিত ,,
